Epoch,Loss_D,Loss_G,Time
119,-47.126197814941406,303.666015625,2025-10-01 12:49:55
120,-13.688063621520996,-522.467529296875,2025-10-01 12:51:10
121,-27.77216148376465,-264.5770263671875,2025-10-01 12:52:25
122,-8.433305740356445,-290.0118103027344,2025-10-01 12:53:40
123,-43.7370719909668,-35.91291046142578,2025-10-01 12:54:55
124,-40.647605895996094,40.34732437133789,2025-10-01 12:56:10
125,-15.478137969970703,-182.75416564941406,2025-10-01 12:57:25
126,-2.005995035171509,61.09524154663086,2025-10-01 12:58:40
127,-52.7891960144043,247.116943359375,2025-10-01 12:59:55
128,-2.974734306335449,-124.9678955078125,2025-10-01 13:01:10
129,-3.970487117767334,18.26202964782715,2025-10-01 13:02:25
130,-35.97614669799805,-117.09383392333984,2025-10-01 13:03:40
131,-18.87135887145996,865.4384765625,2025-10-01 13:04:55
132,-17.179166793823242,217.52734375,2025-10-01 13:06:10
133,-18.058876037597656,-56.44475173950195,2025-10-01 13:07:25
134,-22.68265151977539,-533.3677368164062,2025-10-01 13:08:40
135,-10.51417064666748,-265.2581481933594,2025-10-01 13:09:55
136,-41.500274658203125,-226.31146240234375,2025-10-01 13:11:10
137,-35.91649627685547,-602.0230712890625,2025-10-01 13:12:25
138,-2.04238224029541,-447.8633728027344,2025-10-01 13:13:40
139,-12.756507873535156,203.22219848632812,2025-10-01 13:14:55
140,-15.269761085510254,40.6384391784668,2025-10-01 13:16:10
141,-16.8729305267334,-239.54849243164062,2025-10-01 13:17:25
142,-27.897375106811523,-280.3230285644531,2025-10-01 13:18:41
143,-51.48517608642578,-210.0357666015625,2025-10-01 13:19:56
144,-10.319270133972168,90.10850524902344,2025-10-01 13:21:12
145,-66.57637023925781,-919.5289916992188,2025-10-01 13:22:27
146,-19.960325241088867,472.4989318847656,2025-10-01 13:23:42
147,-47.56458282470703,311.5730895996094,2025-10-01 13:24:57
148,-38.635047912597656,-188.74124145507812,2025-10-01 13:26:12
149,-19.35440444946289,250.12356567382812,2025-10-01 13:27:27
150,-28.532466888427734,-32.979522705078125,2025-10-01 13:28:42
151,-20.174501419067383,-32.0689811706543,2025-10-01 13:29:58
152,0.16187763214111328,-46.95209503173828,2025-10-01 13:31:13
153,-6.592181205749512,-614.7199096679688,2025-10-01 13:32:29
154,-17.733562469482422,1.2177423238754272,2025-10-01 13:33:44
155,-12.070189476013184,-586.9725341796875,2025-10-01 13:34:59
156,-42.916099548339844,-114.62643432617188,2025-10-01 13:36:14
157,-20.642309188842773,-513.8084716796875,2025-10-01 13:37:29
158,-25.34784507751465,-270.55389404296875,2025-10-01 13:38:44
159,-21.323652267456055,-44.71144104003906,2025-10-01 13:39:59
160,-38.3292121887207,-221.33758544921875,2025-10-01 13:41:14
161,-32.07645034790039,145.80752563476562,2025-10-01 13:42:29
162,-20.932723999023438,-586.8624877929688,2025-10-01 13:43:43
163,-41.638309478759766,-499.0338439941406,2025-10-01 13:44:58
164,-15.939250946044922,347.9693603515625,2025-10-01 13:46:13
165,-36.25384521484375,-809.5496215820312,2025-10-01 13:47:28
166,-2.8865935802459717,-478.751953125,2025-10-01 13:48:44
167,-6.873723030090332,-599.9641723632812,2025-10-01 13:49:59
168,-46.364234924316406,-216.7111053466797,2025-10-01 13:51:15
169,-25.620361328125,-158.37847900390625,2025-10-01 13:52:30
170,-20.841520309448242,-357.9062194824219,2025-10-01 13:53:45
171,-34.3531608581543,-583.1423950195312,2025-10-01 13:55:00
172,-23.385818481445312,-206.99362182617188,2025-10-01 13:56:15
173,-47.78578567504883,-367.3983459472656,2025-10-01 13:57:30
174,-39.22901916503906,-186.89755249023438,2025-10-01 13:58:45
175,-31.33700942993164,-711.72998046875,2025-10-01 14:00:00
176,-17.492589950561523,-1013.6171264648438,2025-10-01 14:01:16
177,-12.544486999511719,-438.27386474609375,2025-10-01 14:02:31
178,-26.777530670166016,-896.2093505859375,2025-10-01 14:03:46
179,-11.968823432922363,-763.2157592773438,2025-10-01 14:05:02
180,-21.88802719116211,-725.4819946289062,2025-10-01 14:06:17
181,-22.380491256713867,-343.2814636230469,2025-10-01 14:07:32
182,-13.205720901489258,-753.4948120117188,2025-10-01 14:08:47
183,-15.619758605957031,-513.306396484375,2025-10-01 14:10:02
184,-12.57954216003418,-527.7723999023438,2025-10-01 14:11:17
